epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45471,0.54259,4.30451,0.90478,0.00241,1,0.9669,0.76114,0.62702,3.09383,0.83125,0.000647619,0.000647619,0.000647619
2,8.2597,0.69942,2.366,0.97624,0.97217,0.57692,0.93538,0.81358,0.50989,2.71632,0.86944,0.00130561,0.00130561,0.00130561
3,12.2308,0.69208,1.88882,1.0121,0.99088,0.65385,0.85292,0.69964,0.64905,2.1433,0.98912,0.0019548,0.0019548,0.0019548
4,16.1034,0.70608,2.65331,0.93993,0.96006,0.92455,0.9867,0.86467,0.58776,2.12077,0.91193,0.0019604,0.0019604,0.0019604
5,19.9375,0.68175,1.7041,0.96739,0.92364,0.92308,0.98407,0.82182,0.5946,2.38223,0.93224,0.0019472,0.0019472,0.0019472
6,23.8377,0.65248,1.6491,0.9568,0.97569,1,0.995,0.89277,0.55121,1.42556,0.88745,0.001934,0.001934,0.001934
7,27.6449,0.61369,1.53499,0.95525,0.88983,0.96154,0.94267,0.81545,0.59161,1.6782,0.90723,0.0019208,0.0019208,0.0019208
8,31.5311,0.63309,1.48076,0.99353,0.95554,1,0.98241,0.83442,0.49811,1.35829,0.87976,0.0019076,0.0019076,0.0019076
9,35.4537,0.6072,1.40644,0.95463,0.99737,1,0.995,0.91282,0.44738,1.04185,0.83601,0.0018944,0.0018944,0.0018944
10,39.4798,0.53208,1.1829,0.90343,0.9614,1,0.98241,0.89409,0.43064,1.02114,0.83446,0.0018812,0.0018812,0.0018812
11,43.4434,0.56411,1.15046,0.9017,0.99727,1,0.995,0.90488,0.45666,0.93495,0.83787,0.001868,0.001868,0.001868
12,47.3482,0.52666,1.68491,0.89517,0.99522,1,0.995,0.94002,0.4118,0.94391,0.82271,0.0018548,0.0018548,0.0018548
13,51.4191,0.5142,1.16117,0.9034,0.99665,1,0.995,0.93839,0.37377,0.70671,0.81985,0.0018416,0.0018416,0.0018416
14,55.3185,0.52454,1.06862,0.95499,0.99612,1,0.995,0.91234,0.42336,0.79876,0.85082,0.0018284,0.0018284,0.0018284
15,59.2115,0.51015,0.98489,0.90889,0.99629,1,0.995,0.93682,0.36704,0.71874,0.82336,0.0018152,0.0018152,0.0018152
16,63.1661,0.51463,1.00931,0.95016,0.99774,1,0.995,0.93131,0.38057,0.66943,0.81579,0.001802,0.001802,0.001802
17,67.0502,0.50797,0.87215,0.91558,0.99102,1,0.995,0.94069,0.3372,0.65437,0.8183,0.0017888,0.0017888,0.0017888
18,71.0254,0.50558,0.83535,0.92607,0.99531,1,0.995,0.94431,0.35875,0.63454,0.83032,0.0017756,0.0017756,0.0017756
19,74.9188,0.4607,0.79672,0.90648,0.99659,1,0.995,0.91666,0.40754,0.58236,0.82845,0.0017624,0.0017624,0.0017624
20,78.7398,0.45597,0.76026,0.89629,0.98758,1,0.995,0.9399,0.38221,0.58481,0.84263,0.0017492,0.0017492,0.0017492
21,82.6613,0.49684,0.90714,0.93105,0.95598,1,0.99389,0.92981,0.38857,0.61734,0.83341,0.001736,0.001736,0.001736
22,86.5388,0.47023,0.75195,0.91433,0.99783,1,0.995,0.9312,0.368,0.53074,0.81111,0.0017228,0.0017228,0.0017228
23,90.3928,0.43858,0.70606,0.89738,0.99685,1,0.995,0.93805,0.36593,0.55677,0.82403,0.0017096,0.0017096,0.0017096
24,94.4718,0.44018,0.70314,0.88033,0.99914,1,0.995,0.94495,0.35457,0.53226,0.82876,0.0016964,0.0016964,0.0016964
25,98.3334,0.4402,0.70602,0.92708,0.99857,1,0.995,0.9092,0.36588,0.50196,0.86485,0.0016832,0.0016832,0.0016832
26,102.333,0.40086,0.64297,0.88948,0.99706,1,0.995,0.95302,0.32837,0.43382,0.82248,0.00167,0.00167,0.00167
27,106.321,0.42184,0.63999,0.86914,0.96057,1,0.96537,0.91002,0.33824,0.46386,0.81273,0.0016568,0.0016568,0.0016568
28,110.292,0.44371,0.66316,0.90533,0.99772,1,0.995,0.94693,0.34811,0.42012,0.80469,0.0016436,0.0016436,0.0016436
29,114.151,0.45973,0.76094,0.91223,0.9979,1,0.995,0.95834,0.31574,0.40189,0.8115,0.0016304,0.0016304,0.0016304
30,118.186,0.43155,0.55253,0.89822,0.99767,1,0.995,0.92444,0.35037,0.37459,0.83754,0.0016172,0.0016172,0.0016172
31,122.111,0.47102,0.58655,0.92765,0.99649,1,0.995,0.96572,0.29636,0.36015,0.82118,0.001604,0.001604,0.001604
32,126.014,0.39505,0.54468,0.86539,0.95999,1,0.995,0.94281,0.33017,0.40377,0.82723,0.0015908,0.0015908,0.0015908
33,129.99,0.38476,0.63484,0.84368,0.99853,1,0.995,0.94765,0.3322,0.3622,0.83298,0.0015776,0.0015776,0.0015776
34,133.895,0.39291,0.53187,0.8766,0.99798,1,0.995,0.96687,0.29932,0.3578,0.80671,0.0015644,0.0015644,0.0015644
35,137.842,0.3978,0.54296,0.88263,0.99796,1,0.995,0.94428,0.30742,0.3399,0.81092,0.0015512,0.0015512,0.0015512
36,141.767,0.37639,0.514,0.87988,0.99778,1,0.995,0.94446,0.30564,0.31745,0.80931,0.001538,0.001538,0.001538
37,145.618,0.49409,0.54561,0.96812,0.99766,1,0.995,0.94845,0.32176,0.34768,0.81153,0.0015248,0.0015248,0.0015248
38,149.476,0.40686,0.52538,0.86787,0.99785,1,0.995,0.95687,0.28771,0.33062,0.83035,0.0015116,0.0015116,0.0015116
39,153.437,0.38684,0.48094,0.87136,0.99822,1,0.995,0.95196,0.29277,0.34344,0.82773,0.0014984,0.0014984,0.0014984
40,157.273,0.38831,0.59475,0.85634,0.99903,1,0.995,0.96248,0.3163,0.36048,0.82725,0.0014852,0.0014852,0.0014852
41,161.605,0.39466,0.57316,0.86949,0.9968,1,0.995,0.93786,0.32234,0.37632,0.83086,0.001472,0.001472,0.001472
42,165.696,0.43496,0.52931,0.92009,0.99786,1,0.995,0.9471,0.33256,0.34688,0.83765,0.0014588,0.0014588,0.0014588
43,169.581,0.37018,0.47993,0.86658,0.99797,1,0.995,0.96796,0.30671,0.34984,0.81423,0.0014456,0.0014456,0.0014456
44,174.07,0.39756,0.51646,0.88891,0.99799,1,0.995,0.94763,0.27758,0.34004,0.81689,0.0014324,0.0014324,0.0014324
45,178.16,0.39875,0.54187,0.9243,0.99798,1,0.995,0.96184,0.30022,0.33316,0.82311,0.0014192,0.0014192,0.0014192
46,181.926,0.40559,0.46543,0.88837,0.99788,1,0.995,0.9549,0.2963,0.32749,0.81303,0.001406,0.001406,0.001406
47,185.926,0.41688,0.45657,0.88531,0.99782,1,0.995,0.95714,0.26706,0.33544,0.80461,0.0013928,0.0013928,0.0013928
48,189.758,0.42473,0.49221,0.88614,0.99783,1,0.995,0.95515,0.28743,0.32301,0.8049,0.0013796,0.0013796,0.0013796
49,193.64,0.35935,0.41447,0.86689,0.99791,1,0.995,0.94662,0.30876,0.31457,0.80769,0.0013664,0.0013664,0.0013664
50,197.531,0.43109,0.43592,0.91133,0.99721,1,0.995,0.9538,0.29331,0.32513,0.79669,0.0013532,0.0013532,0.0013532
51,201.418,0.39216,0.44501,0.87114,0.99763,1,0.995,0.9726,0.27596,0.31346,0.80078,0.00134,0.00134,0.00134
52,205.28,0.37201,0.41277,0.88428,0.99791,1,0.995,0.97032,0.30361,0.30853,0.80738,0.0013268,0.0013268,0.0013268
53,209.134,0.38085,0.41182,0.88853,0.99748,1,0.995,0.98829,0.26431,0.30828,0.79923,0.0013136,0.0013136,0.0013136
54,213.019,0.37831,0.40981,0.85992,0.99778,1,0.995,0.97509,0.26734,0.29242,0.80251,0.0013004,0.0013004,0.0013004
55,216.947,0.35137,0.41245,0.86711,0.99782,1,0.995,0.98415,0.29134,0.30025,0.81119,0.0012872,0.0012872,0.0012872
56,220.85,0.35633,0.39754,0.85739,0.99774,1,0.995,0.9563,0.28846,0.29743,0.81403,0.001274,0.001274,0.001274
57,224.691,0.39761,0.42647,0.89736,0.99798,1,0.995,0.96216,0.28564,0.29887,0.80978,0.0012608,0.0012608,0.0012608
58,228.443,0.33144,0.40591,0.81947,0.998,1,0.995,0.95728,0.28272,0.30743,0.79886,0.0012476,0.0012476,0.0012476
59,232.318,0.40983,0.45201,0.88335,0.99794,1,0.995,0.96245,0.2877,0.2839,0.81018,0.0012344,0.0012344,0.0012344
60,236.099,0.37269,0.38081,0.86405,0.99769,1,0.995,0.96803,0.2565,0.30145,0.80833,0.0012212,0.0012212,0.0012212
61,239.94,0.33228,0.38819,0.86362,0.99793,1,0.995,0.96333,0.27238,0.2862,0.80164,0.001208,0.001208,0.001208
62,243.811,0.37355,0.39427,0.88829,0.99797,1,0.995,0.995,0.21255,0.2551,0.78799,0.0011948,0.0011948,0.0011948
63,247.553,0.33322,0.36982,0.87539,0.99796,1,0.995,0.98829,0.22952,0.26078,0.79182,0.0011816,0.0011816,0.0011816
64,251.357,0.35836,0.39549,0.88082,0.99792,1,0.995,0.98088,0.23614,0.27299,0.7932,0.0011684,0.0011684,0.0011684
65,255.104,0.34712,0.37958,0.88522,0.99799,1,0.995,0.94883,0.27409,0.29465,0.81265,0.0011552,0.0011552,0.0011552
66,258.874,0.35808,0.39271,0.89234,0.99804,1,0.995,0.97823,0.2918,0.29093,0.81257,0.001142,0.001142,0.001142
67,262.569,0.3223,0.35532,0.85025,0.99801,1,0.995,0.99081,0.23099,0.25891,0.79346,0.0011288,0.0011288,0.0011288
68,266.267,0.31626,0.34295,0.85537,0.99805,1,0.995,0.99019,0.23231,0.26205,0.79249,0.0011156,0.0011156,0.0011156
69,270.015,0.36199,0.3779,0.8907,0.99799,1,0.995,0.98397,0.24825,0.26753,0.79752,0.0011024,0.0011024,0.0011024
70,274.305,0.31787,0.33578,0.88496,0.99795,1,0.995,0.97997,0.22472,0.24979,0.79772,0.0010892,0.0010892,0.0010892
71,278.087,0.34642,0.3673,0.89953,0.99787,1,0.995,0.9799,0.23741,0.2596,0.79492,0.001076,0.001076,0.001076
72,281.79,0.31192,0.33865,0.84465,0.99796,1,0.995,0.97891,0.23597,0.24622,0.79036,0.0010628,0.0010628,0.0010628
73,285.567,0.33233,0.35408,0.86207,0.99801,1,0.995,0.97781,0.22234,0.25032,0.7821,0.0010496,0.0010496,0.0010496
74,289.287,0.31364,0.37233,0.83283,0.99799,1,0.995,0.98829,0.21349,0.26071,0.77962,0.0010364,0.0010364,0.0010364
75,293.068,0.33611,0.33364,0.89064,0.99798,1,0.995,0.995,0.20083,0.25149,0.77382,0.0010232,0.0010232,0.0010232
76,296.836,0.30309,0.32959,0.84794,0.99797,1,0.995,0.992,0.19409,0.23378,0.77682,0.00101,0.00101,0.00101
77,300.569,0.29323,0.30799,0.84288,0.99799,1,0.995,0.995,0.20122,0.24851,0.779,0.0009968,0.0009968,0.0009968
